gen_no,mean,min,max
00,0.59757,0.52878,0.66044
01,0.59293,0.52878,0.66044
02,0.6114436363636364,0.57944,0.66044
03,0.5794623076923077,0.47456,0.66044
04,0.6000057894736843,0.51489,0.64922
05,0.6065263636363637,0.56289,0.64133
06,0.594869411764706,0.53978,0.63389
07,0.5887553333333334,0.447,0.66044
08,0.6189431250000001,0.55711,0.66044
09,0.6098708333333333,0.48467,0.66044
10,0.6076660000000002,0.38656,0.66044
11,0.6175700000000001,0.54089,0.66044
12,0.6296066666666668,0.58333,0.66044
13,0.6064835714285716,0.386,0.66178
14,0.6299920000000001,0.60489,0.66044
15,0.6204500000000002,0.44722,0.66044
16,0.6083444444444445,0.52722,0.66044
17,0.6076045,0.37678,0.66178
18,0.6067570588235295,0.328,0.66178
